"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Avila, Anthony 2470","138","1243","1565","01:20:11","05:27:59","04:31:56"
"Lindgren, Mikael 1050","151","872","983","01:09:06","05:17:51","03:49:20"
"Umezawa, Kazuyoshi 1870","229","1589","2186","01:17:22","06:14:45","07:16:21"
"Maric, Bojan 917","162","923","1065","01:03:22","05:13:56","04:01:45"
"Nishioka, Maki 2340","6","52","700","00:58:40","05:19:10","03:33:58"
"Rana, Ivan 18","25","26","27","00:48:21","04:32:26","03:02:39"
"Spalding, Joel 1006","155","898","1025","01:31:16","04:49:08","03:55:52"
"Samuel, Mark 2479","216","1150","1405","01:06:17","04:50:10","04:59:20"
"Long, Felicia 1226","71","550","2067","01:29:42","06:45:57","05:34:49"
"Mccarroll, Charles 1355","178","924","1066","01:04:27","05:24:33","03:52:35"
"Freeman, Roger 154","17","1577","2165","01:31:42","06:36:36","06:28:41"
"Solis, Eduardo 1159","--","--","--","--:--:--","--:--:--","--:--:--"
"Schlohmann, Thomas 1696","100","420","452","01:03:37","04:55:29","03:29:47"
"Swinson, Renee 1568","72","369","1663","01:24:11","05:39:18","04:41:11"
"Mechin, Antoine 2226","--","--","--","00:54:37","04:40:41","--:--:--"
"Hammond, Serena 1548","45","251","1390","01:26:44","05:23:18","04:05:25"
"Hassel, Diana 810","3","155","1115","01:05:15","05:15:10","04:08:12"
"Netto, Laurie-Ann 1559","78","391","1714","01:16:22","06:15:59","04:15:03"
"Mazur, Maksym 1412","--","--","--","--:--:--","--:--:--","--:--:--"
"Weiskopf-Larson, Sue 870","69","626","2261","01:53:34","07:11:19","06:34:58"
"Sosnowska, Aleksandra 1921","29","165","1171","01:03:12","05:49:02","03:40:22"
"Wendel, Sandra 262","4","541","2039","01:23:12","06:45:48","05:30:17"
"Oosterdijk, Tom 2306","--","--","--","01:08:52","04:39:46","--:--:--"
"Moss, Julie 358","3","407","1749","01:03:29","06:03:01","04:51:12"
"Borgio, Alessandro 726","193","1527","2084","01:18:51","06:24:58","06:09:08"
"Newsome, Jason 1058","116","782","865","01:06:01","05:07:42","03:47:41"
"Wild, David 2008","112","469","502","00:55:48","04:44:46","03:48:48"
"Weitz, Matti 2239","55","450","483","01:00:16","04:46:06","03:46:21"
"Gyde, Sam 1288","69","456","489","01:06:28","04:41:05","03:43:59"
"Yamauchi, Akio 452","68","1229","1544","01:45:22","05:27:55","03:56:20"
"Welsch, Rüdiger 531","--","--","--","--:--:--","--:--:--","--:--:--"
"Cao, Guohui 1807","225","1541","2107","01:32:12","06:56:10","05:42:12"
"Moore, David 1132","285","1636","2264","01:26:08","07:00:58","07:12:30"
"Martin, Nathan 1844","--","--","--","--:--:--","--:--:--","--:--:--"
"Potts, Andy 14","8","8","8","00:49:33","04:18:51","02:56:27"
"Marshall, Stephen 411","--","--","--","00:56:51","05:26:08","--:--:--"
"MIZON, CANDICE 2180","26","133","1044","00:56:57","05:26:07","03:58:04"
"Antonov, Vera 2437","29","502","1967","01:28:26","06:35:54","05:03:46"
"Strizhov, Dmitriy 2467","218","1175","1446","01:25:19","05:27:00","04:08:18"
"Vesty, Brendon 1079","108","751","827","01:11:43","04:28:46","04:21:23"
"Hartley, Alan 297","14","1167","1436","01:17:46","05:24:50","04:19:21"
"Radi, Massimiliano 1365","--","--","--","00:59:44","--:--:--","--:--:--"
"Wagner, Eric 2061","16","83","90","00:53:13","04:40:55","03:15:59"
"D'Hoossche, Tom 1276","41","296","319","01:09:45","04:45:38","03:20:53"
"Yulung, Liang 1530","170","879","995","01:00:29","05:01:58","04:13:59"
"Koptiva, Petr 1769","191","1037","1225","01:03:05","04:53:38","04:42:08"
"Araujo Santos, Gustavo 2243","42","352","381","00:55:44","04:50:24","03:37:43"
"Zwager, Finn 646","82","988","1147","01:12:43","05:19:19","03:56:06"
"Welti, Martin 1525","34","236","258","01:03:40","04:34:44","03:34:14"
"Genet, Manon 3023","31","49","660","00:58:28","04:51:37","03:59:12"
"Burke, Mark 397","71","1246","1576","01:12:13","05:20:58","04:52:34"
"Wolkowicz, Peter 2091","22","93","102","00:57:51","04:36:33","03:18:40"
"Dickson, John 399","29","1016","1191","01:05:23","05:27:11","04:01:27"
"Farrell, Amy 1542","3","43","600","01:06:03","05:01:20","03:36:10"
"Bakk, Britni 846","13","302","1508","01:06:55","05:36:54","04:29:16"
"Núñez Fauste, Xavier 1774","65","287","310","01:01:14","04:52:20","03:23:38"
"Sehnke, Peter 790","201","1596","2196","01:34:31","07:19:40","06:05:47"
"Littlewood, Damion 1127","132","822","911","00:59:22","04:42:07","04:28:19"
"Priglinger, Johanna 1561","29","159","1141","01:08:56","05:23:28","03:56:54"
"Wermskog, Jarle 1750","10","67","72","01:04:37","04:32:37","03:08:21"
"Fontenot, Gus 742","212","1662","2297","01:23:56","06:45:52","08:16:18"
"Borowiak, Rafal 1641","168","807","894","01:09:28","05:02:46","03:57:16"
"SCHMITT, HEIDI 1210","47","353","1623","01:11:53","05:55:38","04:26:24"
"Carson, Barb 357","26","551","2068","01:36:54","06:49:24","05:28:49"
"Christiansson, Johan 1029","210","1155","1416","01:10:59","05:18:06","04:28:03"
"Veldeman, Toon 1706","4","44","46","00:55:32","04:30:30","03:09:43"
"Medak, Alicja 1188","27","245","1383","01:22:52","05:43:07","03:45:45"
"Olejniczak, Mariusz 1776","6","52","56","01:01:01","04:33:05","03:07:20"
"Hart, Jenny 824","10","282","1464","01:21:34","05:52:27","03:50:00"
"Daenzer, Sandra 1176","6","93","922","01:09:31","05:08:35","03:53:46"
"Hutchinson, Allen 1114","--","--","--","--:--:--","--:--:--","--:--:--"
"Zach Maor, Lior 1018","27","357","386","00:56:50","04:50:56","03:36:00"
"Hafner, Mojca 2352","35","250","1389","01:08:43","05:25:00","04:21:43"
"Bello, Zoe 2439","28","479","1898","01:08:44","05:55:55","05:37:11"
"Greenberg, Bobbe 181","1","569","2113","01:37:39","07:01:55","05:35:25"
"Roehl, Jeffrey 519","121","1601","2206","01:21:37","06:33:47","07:09:16"
"Hornsby, Grant 1405","94","539","577","01:03:25","04:54:06","03:45:03"
"Deery, Hamish 894","112","774","857","01:13:14","05:13:16","03:39:08"
"Begg, Alex 482","9","758","836","01:00:42","04:53:08","04:05:47"
"Okazaki, Yuichi 210","30","1519","2074","01:51:04","07:03:14","04:59:18"
"Jaros, Zbysek 1298","194","985","1144","01:04:47","04:51:20","04:34:02"
"Woollacott, Lucy 1596","19","123","1016","00:58:09","05:17:30","04:02:47"
"Egretzberger, Rainer 1340","184","947","1096","01:10:59","04:48:54","04:25:05"
"Belcher, Mark 962","243","1353","1767","01:22:29","05:23:12","05:09:20"
"Bowker, Kayla 2320","8","59","738","01:09:37","05:20:10","03:22:02"
"Stoffel, Richard 682","25","651","704","01:01:45","04:49:59","03:57:11"
"Smith, Donald 158","19","1599","2203","01:54:41","07:05:46","05:59:54"
"Casado, Alejandro 1648","46","206","224","01:07:13","04:39:10","03:21:51"
"Brannigan, Jessica 1905","61","366","1655","01:09:10","05:46:08","04:40:42"
"Ratacheski, Diogo 116","4","1395","1847","01:37:55","06:44:04","03:59:45"
"Lawson, Anna 2445","7","173","1187","01:09:57","05:43:25","03:43:30"
"Wibowo, Andy 1710","78","338","367","00:53:30","04:46:21","03:42:39"
"van Heerebeek, freek 797","63","918","1056","01:07:24","05:06:03","04:08:33"
"Robinson, Mary 2193","67","476","1893","01:08:54","05:52:53","05:35:02"
"Herrmann, Antje 574","41","561","2096","01:37:44","06:48:07","05:44:44"
"Junod, Joël 2076","98","370","399","01:00:47","04:48:10","03:36:12"
"Azevedo Jr, Roberto 195","--","--","--","--:--:--","--:--:--","--:--:--"
"Tuttle, John 421","4","623","672","00:56:24","05:01:36","03:47:48"
"Lim, Chee Yong 2412","33","1184","1466","01:12:24","05:35:08","04:19:05"
"Marin Sospedra, Jose 209","9","1349","1760","01:43:11","05:58:35","04:15:57"
"Hauser, David 2409","39","1409","1871","01:35:31","06:19:54","04:29:05"
"Mullaney, David 2462","96","1052","1246","01:13:53","05:08:55","04:11:55"
"Loveridge, Robert 764","113","1114","1350","01:10:13","05:14:10","04:26:08"
"Ando, Yoshiro 321","56","1524","2081","01:45:47","07:01:31","05:13:16"
"Hopkin, Andrea 1552","25","140","1059","01:06:01","05:07:45","04:09:08"
"Im Brahm, Carsten 1115","200","1098","1326","00:59:17","05:16:52","04:28:20"
