bike,div_rank,gender_rank,overall_rank,run,swim,name
05:27:59,138,1243,1565,04:31:56,01:20:11,"Avila, Anthony 2470"
05:17:51,151,872,983,03:49:20,01:09:06,"Lindgren, Mikael 1050"
06:14:45,229,1589,2186,07:16:21,01:17:22,"Umezawa, Kazuyoshi 1870"
05:13:56,162,923,1065,04:01:45,01:03:22,"Maric, Bojan 917"
05:19:10,6,52,700,03:33:58,00:58:40,"Nishioka, Maki 2340"
04:32:26,25,26,27,03:02:39,00:48:21,"Rana, Ivan 18"
04:49:08,155,898,1025,03:55:52,01:31:16,"Spalding, Joel 1006"
04:50:10,216,1150,1405,04:59:20,01:06:17,"Samuel, Mark 2479"
06:45:57,71,550,2067,05:34:49,01:29:42,"Long, Felicia 1226"
05:24:33,178,924,1066,03:52:35,01:04:27,"Mccarroll, Charles 1355"
06:36:36,17,1577,2165,06:28:41,01:31:42,"Freeman, Roger 154"
--:--:--,--,--,--,--:--:--,--:--:--,"Solis, Eduardo 1159"
04:55:29,100,420,452,03:29:47,01:03:37,"Schlohmann, Thomas 1696"
05:39:18,72,369,1663,04:41:11,01:24:11,"Swinson, Renee 1568"
04:40:41,--,--,--,--:--:--,00:54:37,"Mechin, Antoine 2226"
05:23:18,45,251,1390,04:05:25,01:26:44,"Hammond, Serena 1548"
05:15:10,3,155,1115,04:08:12,01:05:15,"Hassel, Diana 810"
06:15:59,78,391,1714,04:15:03,01:16:22,"Netto, Laurie-Ann 1559"
--:--:--,--,--,--,--:--:--,--:--:--,"Mazur, Maksym 1412"
07:11:19,69,626,2261,06:34:58,01:53:34,"Weiskopf-Larson, Sue 870"
05:49:02,29,165,1171,03:40:22,01:03:12,"Sosnowska, Aleksandra 1921"
06:45:48,4,541,2039,05:30:17,01:23:12,"Wendel, Sandra 262"
04:39:46,--,--,--,--:--:--,01:08:52,"Oosterdijk, Tom 2306"
06:03:01,3,407,1749,04:51:12,01:03:29,"Moss, Julie 358"
06:24:58,193,1527,2084,06:09:08,01:18:51,"Borgio, Alessandro 726"
05:07:42,116,782,865,03:47:41,01:06:01,"Newsome, Jason 1058"
04:44:46,112,469,502,03:48:48,00:55:48,"Wild, David 2008"
04:46:06,55,450,483,03:46:21,01:00:16,"Weitz, Matti 2239"
04:41:05,69,456,489,03:43:59,01:06:28,"Gyde, Sam 1288"
05:27:55,68,1229,1544,03:56:20,01:45:22,"Yamauchi, Akio 452"
--:--:--,--,--,--,--:--:--,--:--:--,"Welsch, Rüdiger 531"
06:56:10,225,1541,2107,05:42:12,01:32:12,"Cao, Guohui 1807"
07:00:58,285,1636,2264,07:12:30,01:26:08,"Moore, David 1132"
--:--:--,--,--,--,--:--:--,--:--:--,"Martin, Nathan 1844"
04:18:51,8,8,8,02:56:27,00:49:33,"Potts, Andy 14"
05:26:08,--,--,--,--:--:--,00:56:51,"Marshall, Stephen 411"
05:26:07,26,133,1044,03:58:04,00:56:57,"MIZON, CANDICE 2180"
06:35:54,29,502,1967,05:03:46,01:28:26,"Antonov, Vera 2437"
05:27:00,218,1175,1446,04:08:18,01:25:19,"Strizhov, Dmitriy 2467"
04:28:46,108,751,827,04:21:23,01:11:43,"Vesty, Brendon 1079"
05:24:50,14,1167,1436,04:19:21,01:17:46,"Hartley, Alan 297"
--:--:--,--,--,--,--:--:--,00:59:44,"Radi, Massimiliano 1365"
04:40:55,16,83,90,03:15:59,00:53:13,"Wagner, Eric 2061"
04:45:38,41,296,319,03:20:53,01:09:45,"D'Hoossche, Tom 1276"
05:01:58,170,879,995,04:13:59,01:00:29,"Yulung, Liang 1530"
04:53:38,191,1037,1225,04:42:08,01:03:05,"Koptiva, Petr 1769"
04:50:24,42,352,381,03:37:43,00:55:44,"Araujo Santos, Gustavo 2243"
05:19:19,82,988,1147,03:56:06,01:12:43,"Zwager, Finn 646"
04:34:44,34,236,258,03:34:14,01:03:40,"Welti, Martin 1525"
04:51:37,31,49,660,03:59:12,00:58:28,"Genet, Manon 3023"
05:20:58,71,1246,1576,04:52:34,01:12:13,"Burke, Mark 397"
04:36:33,22,93,102,03:18:40,00:57:51,"Wolkowicz, Peter 2091"
05:27:11,29,1016,1191,04:01:27,01:05:23,"Dickson, John 399"
05:01:20,3,43,600,03:36:10,01:06:03,"Farrell, Amy 1542"
05:36:54,13,302,1508,04:29:16,01:06:55,"Bakk, Britni 846"
04:52:20,65,287,310,03:23:38,01:01:14,"Núñez Fauste, Xavier 1774"
07:19:40,201,1596,2196,06:05:47,01:34:31,"Sehnke, Peter 790"
04:42:07,132,822,911,04:28:19,00:59:22,"Littlewood, Damion 1127"
05:23:28,29,159,1141,03:56:54,01:08:56,"Priglinger, Johanna 1561"
04:32:37,10,67,72,03:08:21,01:04:37,"Wermskog, Jarle 1750"
06:45:52,212,1662,2297,08:16:18,01:23:56,"Fontenot, Gus 742"
05:02:46,168,807,894,03:57:16,01:09:28,"Borowiak, Rafal 1641"
05:55:38,47,353,1623,04:26:24,01:11:53,"SCHMITT, HEIDI 1210"
06:49:24,26,551,2068,05:28:49,01:36:54,"Carson, Barb 357"
05:18:06,210,1155,1416,04:28:03,01:10:59,"Christiansson, Johan 1029"
04:30:30,4,44,46,03:09:43,00:55:32,"Veldeman, Toon 1706"
05:43:07,27,245,1383,03:45:45,01:22:52,"Medak, Alicja 1188"
04:33:05,6,52,56,03:07:20,01:01:01,"Olejniczak, Mariusz 1776"
05:52:27,10,282,1464,03:50:00,01:21:34,"Hart, Jenny 824"
05:08:35,6,93,922,03:53:46,01:09:31,"Daenzer, Sandra 1176"
--:--:--,--,--,--,--:--:--,--:--:--,"Hutchinson, Allen 1114"
04:50:56,27,357,386,03:36:00,00:56:50,"Zach Maor, Lior 1018"
05:25:00,35,250,1389,04:21:43,01:08:43,"Hafner, Mojca 2352"
05:55:55,28,479,1898,05:37:11,01:08:44,"Bello, Zoe 2439"
07:01:55,1,569,2113,05:35:25,01:37:39,"Greenberg, Bobbe 181"
06:33:47,121,1601,2206,07:09:16,01:21:37,"Roehl, Jeffrey 519"
04:54:06,94,539,577,03:45:03,01:03:25,"Hornsby, Grant 1405"
