AgeGroup,AgeRank,Bib,BikeOrder,BikeTime,Country,Gender,GenderRank,LastPosition,LastTime,Name,OverallRank,RunOrder,RunTime,Status,SwimOrder,SwimTime,Time,TimeOrder
PRO,1,1,041604,04:16:04,DEU,M,1,,00:00:00,Patrick Lange,1,024131,02:41:31,Finish,005037,00:50:37,07:52:39,075239
PRO,2,16,041225,04:12:25,BEL,M,2,,00:00:00,Bart Aernouts,2,024541,02:45:41,Finish,005407,00:54:07,07:56:41,075641
PRO,3,5,042118,04:21:18,GBR,M,3,,00:00:00,David Mcnamee,3,024603,02:46:03,Finish,004931,00:49:31,08:01:09,080109
PRO,4,43,041845,04:18:45,USA,M,4,,00:00:00,Tim O'Donnell,4,025233,02:52:33,Finish,004745,00:47:45,08:03:17,080317
PRO,5,10,041717,04:17:17,NZL,M,5,,00:00:00,Braden Currie,5,025338,02:53:38,Finish,004928,00:49:28,08:04:41,080441
PRO,6,58,041258,04:12:58,USA,M,6,,00:00:00,Matt Russell,6,025256,02:52:56,Finish,005402,00:54:02,08:04:45,080445
PRO,7,24,041541,04:15:41,GBR,M,7,,00:00:00,Joe Skipper,7,025415,02:54:15,Finish,005053,00:50:53,08:05:54,080554
PRO,8,14,041851,04:18:51,USA,M,8,,00:00:00,Andy Potts,8,025627,02:56:27,Finish,004933,00:49:33,08:09:34,080934
PRO,9,19,040906,04:09:06,AUS,M,9,,00:00:00,Cameron Wurf,9,030618,03:06:18,Finish,005051,00:50:51,08:10:32,081032
PRO,10,21,041127,04:11:27,AUT,M,10,,00:00:00,Michael Weiss,10,030002,03:00:02,Finish,005414,00:54:14,08:11:04,081104
PRO,11,7,041944,04:19:44,ESP,M,11,,00:00:00,Javier Gomez,11,025924,02:59:24,Finish,004746,00:47:46,08:11:41,081141
PRO,12,20,042747,04:27:47,AUS,M,12,,00:00:00,Tim Van Berkel,12,025036,02:50:36,Finish,005039,00:50:39,08:13:47,081347
PRO,13,42,041517,04:15:17,DEU,M,13,,00:00:00,Andreas Dreitz,13,030250,03:02:50,Finish,005056,00:50:56,08:14:02,081402
PRO,14,41,041948,04:19:48,CHE,M,14,,00:00:00,Ruedi Wild,14,025804,02:58:04,Finish,005048,00:50:48,08:14:31,081431
